,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Øksfjord,100,NO,1586662625,68,70.24,22.35,28.4,19.46
375,Tegul'det,0,RU,1586662625,63,57.31,88.17,42.01,5.79
376,Altay,17,CN,1586662625,34,47.87,88.12,49.89,1.92
377,Vao,13,NC,1586662626,75,-22.67,167.48,76.98,12.73
378,Barabai,95,ID,1586662626,87,-2.58,115.38,76.89,1.45
379,Stargard,34,PL,1586662626,69,53.34,15.05,41.0,4.7
380,Channel-Port aux Basques,8,CA,1586662626,97,47.57,-59.14,31.78,18.92
381,Māngrol,17,IN,1586662626,49,21.12,70.12,83.71,11.79
382,Castleisland,75,IE,1586662626,93,52.23,-9.47,48.2,8.05
383,Ulaanbaatar,75,MN,1586662626,9,47.91,106.88,55.4,22.37
384,Grinnell,90,US,1586662626,100,41.74,-92.72,51.8,8.05
385,Caravelas,3,BR,1586662627,86,-17.71,-39.25,78.01,5.01
386,Winnemucca,1,US,1586662627,28,40.97,-117.74,57.2,9.17
387,Ban Nahin,64,LA,1586662627,56,18.24,104.21,91.99,5.7
388,Ilulissat,86,GL,1586662556,68,69.22,-51.1,28.4,6.93
389,Mirny,40,RU,1586662627,59,62.54,113.96,37.4,17.9
390,Yokadouma,100,CM,1586662627,83,3.52,15.05,68.99,1.68
391,Assiniboia,100,CA,1586662627,76,49.63,-105.98,23.07,13.67
392,Sitka,20,US,1586662627,48,57.05,-135.33,44.6,1.54
393,Zasheyek,92,RU,1586662627,94,67.41,32.55,18.03,3.74
394,Acapulco de Juárez,5,MX,1586662335,88,16.86,-99.89,77.0,6.93
395,Fortuna,90,US,1586662627,87,40.6,-124.16,54.0,8.05
396,Olafsvik,51,IS,1586662627,88,64.89,-23.71,33.84,23.22
397,Darnah,36,LY,1586662627,67,32.77,22.64,58.68,14.12
398,Qaqortoq,100,GL,1586662627,33,60.72,-46.03,46.4,49.44
399,Kasongo,100,CD,1586662628,82,-4.45,26.67,69.03,3.13
400,Porto Santo,75,PT,1586662628,82,33.07,-16.34,60.8,13.87
401,São João da Barra,100,BR,1586662628,87,-21.64,-41.05,71.51,12.17
402,Krasnyy Chikoy,99,RU,1586662628,23,50.36,108.75,59.16,3.38
403,Flinders,0,AU,1586662628,30,-34.58,150.86,71.01,3.36
404,Usinsk,100,RU,1586662628,94,65.99,57.53,14.79,6.44
405,Mahébourg,40,MU,1586662628,83,-20.41,57.7,80.01,14.99
406,Yabēlo,56,ET,1586662628,56,4.88,38.08,58.69,6.06
407,Şabyā,20,SA,1586662628,74,17.15,42.63,82.4,3.36
408,Segovia,94,ES,1586662628,88,41.17,-4.0,52.0,6.46
409,Waingapu,10,ID,1586662628,69,-9.66,120.26,83.39,4.29
410,Tagusao,5,PH,1586662629,63,9.19,117.81,85.55,4.38
411,Urbana,90,US,1586662629,81,40.11,-88.21,51.01,13.87
412,Velsk,3,RU,1586662629,94,61.07,42.1,24.48,3.47
413,Lewiston,1,US,1586662629,59,44.1,-70.21,37.0,5.84
414,Iraray,1,PH,1586662629,54,8.99,118.05,87.87,7.34
415,Namatanai,98,PG,1586662629,71,-3.67,152.43,84.29,3.13
416,Grindavik,51,IS,1586662629,80,63.84,-22.43,35.6,1.12
417,Cururupu,100,BR,1586662355,91,-1.83,-44.87,78.08,4.05
418,Bontang,1,ID,1586662629,66,0.13,117.5,84.43,5.37
419,Kloulklubed,2,PW,1586662629,75,7.04,134.26,83.08,8.05
420,Abhā,58,SA,1586662629,82,18.22,42.51,62.6,2.51
421,Egvekinot,17,RU,1586662630,87,66.32,-179.17,19.51,0.4
422,Clarence Town,2,AU,1586662630,37,-32.58,151.78,72.0,6.93
423,Tsimmerbude,97,RU,1586662630,42,54.67,20.13,44.6,8.95
424,Manzhouli,0,CN,1586662630,19,49.6,117.43,63.37,10.11
425,Fort Nelson,20,CA,1586662585,27,58.81,-122.7,35.6,4.7
426,Isangel,20,VU,1586662630,55,-19.55,169.27,86.0,5.82
427,Adrar,0,MR,1586662630,21,20.5,-10.07,76.03,10.11
428,Pāsighāt,0,IN,1586662630,28,28.07,95.33,84.25,2.46
429,Vanimo,92,PG,1586662630,80,-2.67,141.3,83.73,5.99
430,Aquiraz,40,BR,1586662630,88,-3.9,-38.39,84.0,2.24
431,Dauphin,90,CA,1586662631,68,51.15,-100.05,26.6,10.29
432,Bitung,40,ID,1586662631,55,1.45,125.18,87.8,6.93
433,Dovolnoye,0,RU,1586662631,88,54.5,79.67,33.8,6.78
434,Amapá,100,BR,1586662631,94,1.0,-52.0,73.42,2.04
435,Elko,75,US,1586662344,32,41.0,-115.5,53.6,4.7
436,Mabaruma,98,GY,1586662631,74,8.2,-59.78,77.05,6.26
437,Goulburn,0,AU,1586662585,46,-34.75,149.72,64.0,1.01
438,Portland,20,US,1586662493,47,45.52,-122.68,57.2,9.17
439,Tautira,100,PF,1586662631,66,-17.73,-149.15,86.0,4.7
440,Águas Vermelhas,20,BR,1586662631,78,-15.75,-41.46,66.83,2.57
441,Jiayuguan City,100,CN,1586662631,16,39.82,98.3,53.06,4.81
442,Humaitá,100,BR,1586662631,94,-7.51,-63.02,74.75,3.31
443,Bartica,40,GY,1586662631,88,6.4,-58.62,77.0,6.93
444,Illintsi,44,UA,1586662631,75,49.1,29.22,32.0,4.47
445,Dalianwan,0,CN,1586662632,20,39.03,121.69,62.6,8.95
446,Kaeo,79,NZ,1586662632,89,-35.1,173.78,66.99,11.01
447,Lincoln,1,US,1586662548,71,40.8,-96.67,57.2,11.41
448,Kétou,32,BJ,1586662632,83,7.36,2.6,77.5,2.37
449,Strezhevoy,100,RU,1586662632,97,60.73,77.59,41.0,4.47
450,Salinas,90,US,1586662632,81,36.68,-121.66,57.0,6.93
451,Zwedru,95,LR,1586662632,89,6.07,-8.13,73.62,1.63
452,Cayenne,75,GF,1586662632,83,4.93,-52.33,78.8,8.41
453,Mitsamiouli,100,KM,1586662632,73,-11.38,43.28,83.82,8.01
454,Lokosovo,96,RU,1586662632,97,61.13,74.82,38.32,7.4
455,Havelock,1,US,1586662556,76,34.88,-76.9,61.0,3.36
456,Trairi,99,BR,1586662633,83,-3.28,-39.27,79.63,4.97
457,Kongolo,100,CD,1586662633,81,-5.38,27.0,68.88,3.27
458,Port Lincoln,100,AU,1586662458,57,-34.73,135.87,59.67,7.63
459,Cuamba,69,MZ,1586662633,81,-14.8,36.54,62.37,1.5
460,Nanortalik,100,GL,1586662633,76,60.14,-45.24,36.9,38.36
461,Pāveh,32,IR,1586662633,46,35.04,46.36,41.58,3.89
462,Moree,0,AU,1586662633,32,-29.47,149.85,69.8,3.36
463,Kitimat,20,CA,1586662633,26,54.05,-128.65,48.2,8.05
464,Takoradze,51,GH,1586662633,84,4.88,-1.76,80.46,3.6
465,De Aar,28,ZA,1586662633,34,-30.65,24.01,62.17,11.23
466,Sayyan,3,YE,1586662633,42,15.17,44.32,57.38,2.93
467,Dawson Creek,1,CA,1586662633,82,55.77,-120.24,32.0,5.82
468,Macenta,95,GN,1586662633,82,8.54,-9.47,69.12,0.89
469,Jieshi,0,CN,1586662569,52,22.81,115.83,70.0,4.0
470,Tyukhtet,0,RU,1586662634,59,56.54,89.3,41.77,8.97
471,Havøysund,100,NO,1586662634,68,71.0,24.66,28.4,4.7
472,Lüderitz,0,NA,1586662634,87,-26.65,15.16,57.2,8.05
473,Carballo,40,ES,1586662634,100,43.21,-8.69,55.0,1.12
474,Ca Mau,11,VN,1586662425,46,9.18,105.15,91.38,8.59
475,Dingle,23,PH,1586662634,56,11.0,122.67,87.64,6.91
476,Sept-Îles,20,CA,1586662568,54,50.2,-66.38,32.0,5.82
477,Nkhotakota,17,MW,1586662634,68,-12.93,34.3,73.0,9.1
478,Huarmey,0,PE,1586662634,72,-10.07,-78.15,75.13,7.14
479,Port Keats,93,AU,1586662634,59,-14.25,129.55,88.86,6.4
480,Baruun-Urt,0,MN,1586662634,19,46.68,113.28,56.62,10.96
481,Talcahuano,0,CL,1586662635,71,-36.72,-73.12,53.6,8.05
482,San Juan del Sur,55,NI,1586662635,73,11.25,-85.87,82.26,14.67
483,Tutóia,100,BR,1586662635,87,-2.76,-42.27,79.84,6.44
484,Farafangana,100,MG,1586662635,89,-22.82,47.83,72.66,4.72
485,Sikonge,100,TZ,1586662635,69,-5.63,32.77,62.4,3.91
486,Progreso,5,MX,1586662635,78,21.28,-89.67,82.0,3.36
487,Dubrovnik,21,HR,1586662480,33,42.65,18.09,62.6,11.41
488,Hambantota,16,LK,1586662635,74,6.12,81.12,83.28,9.6
489,Thunder Bay,5,CA,1586662635,55,48.4,-89.32,34.0,3.36
490,Tambura,100,SS,1586662635,78,5.6,27.47,70.74,3.33
491,Maceió,70,BR,1586662399,81,-9.67,-35.74,79.41,7.67
492,Ugoofaaru,10,MV,1586662635,68,5.67,73.0,85.46,7.36
493,Opuwo,10,NA,1586662636,60,-18.06,13.84,66.52,4.9
494,Poronaysk,95,RU,1586662636,78,49.22,143.12,37.36,1.79
495,Tlancualpican,0,MX,1586662636,19,18.43,-98.7,82.38,4.52
496,Vigía del Fuerte,97,CO,1586662636,93,6.58,-76.89,75.34,0.54
497,Kasese,100,UG,1586662636,55,0.18,30.08,68.59,1.14
498,Poyarkovo,0,RU,1586662636,41,49.6,128.68,57.58,9.89
499,Washington,1,US,1586662636,19,47.5,-120.5,50.0,8.05
500,Chirongui,40,YT,1586662636,70,-12.93,45.15,84.2,16.11
501,Northam,37,GB,1586662636,91,51.03,-4.22,52.0,4.0
502,Mandalgovi,41,MN,1586662636,22,45.76,106.27,49.19,16.91
503,Altamura,0,IT,1586662637,70,40.83,16.55,52.0,8.05
504,Emerald,0,AU,1586662637,21,-23.53,148.17,89.6,12.75
505,Yar-Sale,44,RU,1586662637,91,66.83,70.83,12.34,4.05
506,Burnie,73,AU,1586662637,67,-41.07,145.92,58.3,14.94
507,Richards Bay,1,ZA,1586662637,86,-28.78,32.04,69.67,12.35
508,Luanda,70,AO,1586662637,86,-8.84,13.23,78.15,3.2
509,Bay Roberts,5,CA,1586662624,95,47.6,-53.26,33.01,21.92
510,Šibenik,3,HR,1586662637,44,43.73,15.91,57.2,1.12
511,Puerto Peñasco,1,MX,1586662637,74,31.32,-113.53,62.01,7.0
512,Rio Brilhante,21,BR,1586662637,55,-21.8,-54.55,63.34,3.71
513,Rawson,0,AR,1586662638,40,-43.3,-65.1,54.82,5.53
514,Numan,96,NG,1586662638,40,9.47,12.03,80.19,0.98
515,Bama,87,NG,1586662638,37,11.52,13.69,72.25,3.96
516,Tamandaré,73,BR,1586662638,78,-8.76,-35.1,80.22,6.17
517,Mineral Wells,90,US,1586662638,93,32.81,-98.11,69.8,9.17
518,Chabahar,60,IR,1586662638,79,25.29,60.64,77.14,6.22
519,Krasnoarmeyskoye,100,RU,1586662638,62,52.72,50.03,42.76,11.92
520,Campos do Jordão,40,BR,1586662638,87,-22.74,-45.59,60.8,6.93
521,Pecos,1,US,1586662638,11,31.42,-103.49,73.4,11.41
522,Mujiayingzi,3,CN,1586662638,22,42.12,118.78,57.92,20.02
523,Marana,75,US,1586662551,76,32.44,-111.23,54.0,4.7
524,Hojāi,0,IN,1586662639,30,26.0,92.87,86.34,3.87
525,Kiryat Gat,40,IL,1586662639,82,31.61,34.76,55.4,2.24
526,Matelândia,0,BR,1586662639,93,-25.24,-54.0,59.0,2.24
527,Tongzi,84,CN,1586662639,49,28.78,105.09,64.94,2.68
528,Hamadan,20,IR,1586662639,93,34.8,48.51,35.6,4.7
529,Port Hardy,20,CA,1586662639,40,50.7,-127.42,51.8,8.05
530,Verkhnyaya Inta,99,RU,1586662639,93,65.98,60.31,18.21,4.59
531,Caucayá,26,CO,1586662639,91,-0.19,-74.78,73.4,1.45
532,Dover,1,US,1586662502,56,39.16,-75.52,48.2,1.36
533,Sonoita,28,MX,1586662639,58,31.85,-112.83,57.99,8.75
534,Qasigiannguit,100,GL,1586662639,68,68.82,-51.19,28.4,6.93
535,Nivala,90,FI,1586662639,73,63.92,24.97,25.0,1.99
536,Russell,1,US,1586662554,87,32.35,-85.2,60.8,4.99
537,Korsakovo,0,RU,1586662639,83,53.27,37.36,30.76,12.01
538,Vila Velha,90,BR,1586662640,88,-20.33,-40.29,73.99,6.93
539,Quatre Cocos,40,MU,1586662640,83,-20.21,57.76,80.01,14.99
540,Mitú,70,CO,1586662640,90,1.2,-70.17,73.38,0.36
541,Mackay,0,AU,1586662640,58,-21.15,149.2,88.0,11.41
542,Mariquita,100,CO,1586662640,69,5.2,-74.89,73.9,3.18
543,Daru,62,PG,1586662640,69,-9.08,143.21,85.21,9.53
544,Saint-François,16,FR,1586662640,86,46.42,3.91,48.99,2.24
545,Nioro,2,GM,1586662640,70,13.35,-15.75,70.59,6.15
546,‘Āhuimanu,75,US,1586662640,65,21.44,-157.84,82.4,14.99
547,Fremont,40,US,1586662640,81,37.55,-121.99,57.99,11.41
548,Sun Valley,75,US,1586662641,50,39.6,-119.78,63.0,14.99
549,Ampanihy,100,MG,1586662641,65,-24.7,44.75,71.64,5.44
550,Sarankhola,0,BD,1586662641,52,22.31,89.79,88.27,6.13
551,Bam,100,IR,1586662641,25,29.11,58.36,73.81,7.31
552,Batagay-Alyta,2,RU,1586662641,76,67.8,130.41,29.95,8.46
553,Winneba,22,GH,1586662641,78,5.35,-0.62,82.4,6.93
554,La Roche-sur-Yon,0,FR,1586662641,87,46.67,-1.43,51.8,4.7
555,Acajutla,55,SV,1586662641,86,13.59,-89.83,75.0,1.01
556,Avera,1,US,1586662642,62,33.19,-82.53,61.0,6.93
557,Okulovka,0,RU,1586662642,95,58.4,33.29,28.26,1.95
558,General Roca,70,AR,1586662642,66,-39.03,-67.58,55.4,11.32
559,Marzuq,0,YE,1586662642,52,14.4,46.47,69.64,4.43
560,Barguzin,97,RU,1586662642,60,53.62,109.62,44.19,5.99
561,Hokitika,100,NZ,1586662642,80,-42.72,170.97,59.4,20.02
562,Shubarshi,29,KZ,1586662642,57,48.59,57.19,43.74,7.87
563,Kīhei,40,US,1586662450,61,20.79,-156.47,80.6,12.75
564,Ormara,60,PK,1586662642,65,25.21,64.64,78.33,3.6
565,Soe,12,ID,1586662642,61,-9.86,124.28,78.46,3.06
